id,first_ts,last_ts,available_duration,plug_name,appliance_category,comment,files_names,power_max
147,2021-02-15 14:26:18+00:00,2021-03-17 14:26:18+00:00,30.0,Microwave Oven,kitchen,QuickCook Gen2,micro_wave_oven_147.csv,1802.0
286,2020-11-25 00:00:00+00:00,2020-12-24 23:59:59+00:00,30.0,Printer,multimedia,Canon Printer,printer_286.csv,32.0
284,2020-12-04 00:32:37+00:00,2021-01-03 00:32:36+00:00,30.0,Fridge,kitchen,Samsung Refrigerator,fridge_284.csv,280.0
97,2021-03-26 20:39:53+00:00,2021-04-25 20:39:53+00:00,30.0,Coffee,kitchen,Philips Senseo Coffee Machine,coffee_97.csv,1399.0
98,2021-08-13 00:00:00+00:00,2021-09-11 23:59:59+00:00,30.0,Fridge,kitchen,Whirlpool Combination,fridge_98.csv,742.0
135,2021-07-02 00:00:00+00:00,2021-07-31 23:59:58+00:00,30.0,Washing Machine,washing,Candy Washing Machine,washing_machine_135.csv,1955.0
131,2021-06-22 13:31:30+00:00,2021-07-22 13:31:27+00:00,30.0,Internet Router,multimedia,Livebox,internet_router_131.csv,16.0
219,2021-02-11 00:00:00+00:00,2021-03-12 23:59:59+00:00,30.0,Dryer,washing,TurboDry Elite,dryer_219.csv,3267.0
217,2020-09-23 22:13:53+00:00,2020-10-23 22:13:53+00:00,30.0,Boiler,kitchen,Electric Kettle,boiler_217.csv,2545.0
218,2021-04-03 17:57:56+00:00,2021-05-03 17:57:55+00:00,30.0,Washing Machine,washing,Candy Washing Machine,washing_machine_218.csv,2523.0
249,2020-10-09 13:53:49+00:00,2020-11-08 13:53:48+00:00,30.0,Freezer,kitchen,Adelys Star Freezer,freezer_249.csv,1623.0
